Activity,Task,Sub-Task,Applicability,Notes
Statutory Clearances & Approvals,,,ALL,
,Site Selection,Preliminary site identification,ALL,
,,Feasibility assessment,ALL,
,Land Acquisition / Easements,Land survey & demarcation,ALL,
,,Land acquisition / lease agreement,ALL,
,,ROW / easement documentation,ALL,
,Environmental Clearance,Environment / pollution NOC,ALL,
,,Tree-cutting permission (if applicable),ALL,
,,EIA report (if applicable),AIS/GIS/HYB – large substations,
,Regulatory / CEI / CEIG Approval,Electrical Inspector (CEIG) approval,ALL,
,,Work authorization from utility / DISCOM,ALL,
,,CEA / SERC compliance submission,132kV and above,
,Local Authority Approval,Building plan approval,ALL,
,,Municipality / panchayat NOC,ALL,
,Safety & Fire Approval,Fire safety approval,ALL,
,,Safety plan approval,ALL,
,DISCOM / Utility Interface,Vendor approval list from DISCOM/Utility,ALL,DISCOM projects
,,GTP approval submission & receipt,ALL,
,,Drawing submission & approval register,ALL,
Engineering & Design,,,ALL,
,Site Surveys,Topographical / way survey & approval,ALL,
,,Soil / geotechnical investigation,ALL,
,,Bay survey & layout approval,ALL,
,,Control room location marking & drawing approval,ALL,
,,Line terminal & gantry alignment survey,AIS/HYB,
,,GIS hall location & layout approval,GIS/HYB,
,,Cable corridor marking,ALL,
,,Level & flatness test,GIS,
,System Studies,Load flow study,ALL,
,,Short circuit study,ALL,
,,Protection coordination study,ALL,
,,Insulation coordination study,ALL,
,,Earthing grid calculation,ALL,
,,Lightning protection design (DSLP),ALL,
,Primary Design,Single Line Diagram (SLD) – approved from utility,ALL,
,,Switchyard general arrangement (GA) & protection scheme approval,ALL,
,,Layout design,ALL,
,,Busbar design,ALL,
,,Bay design,ALL,
,,Gantry & structure design,AIS/HYB,
,,GIS hall architectural & layout design,GIS/HYB,
,Civil Design,Foundation design – Power Transformer,ALL,
,,Foundation design – CT / PT / LA / Isolator / CB,ALL,
,,Foundation design – Gantries & structures,AIS/HYB,
,,Control room building architectural drawings,ALL,
,,Boundary wall / gate / fencing drawings,ALL,
,,Transformer oil soak pit & bund wall design,ALL,
,,Cable trench layout & section drawings,ALL,
,,Drainage & road design,ALL,
,,Approach road design,ALL,
,Earthing & Lightning Protection Design,Earthing design calculations,ALL,
,,Indoor / outdoor earthing approval,ALL,
,,Lightning protection design,ALL,
,Secondary Design,Protection design & relay setting calculations,ALL,
,,Control design,ALL,
,,Metering design,ALL,
,,DC system design (battery / charger sizing),ALL,
,,Busbar protection scheme design,ALL,
,,SCADA design (IEC 61850 / conventional),ALL,
,,Telecom design,ALL,
,,Cybersecurity / OT security design,ALL,
,SAS / IEC 61850 Engineering,SAS architecture finalization,ALL (if SAS applicable),
,,SLD for SAS & network topology (ring / star),ALL (if SAS applicable),
,,GOOSE mapping & IP addressing,ALL (if SAS applicable),
,,IED & BCU engineering,ALL (if SAS applicable),
,,PMU integration design,ALL (if SAS applicable),
,,Equipment quantity & BOQ finalization,ALL (if SAS applicable),
,Ancillary Systems Design,Firefighting system design,ALL,
,,HVAC design for control room,ALL,
,,Treated earth pit design,ALL,
,,Yard & building lighting design,ALL,
,,Electronic security (CCTV / access / intrusion) design,ALL,
,Drawing Approvals & Issue,Client / utility submission,ALL,
,,Comment incorporation & re-submission,ALL,
,,Issued for Construction (IFC),ALL,
,As-Built Drawings,Mark-up collection from site,ALL,Post-construction
,,Preparation & submission of as-built drawings,ALL,
Procurement,,,ALL,
,Vendor Finalization,Enquiry to approved vendors (civil & electrical),ALL,
,,Vendor-to-item mapping,ALL,
,,RFQ from minimum 3 vendors,ALL,
,,Techno-commercial comparison & evaluation,ALL,
,,Vendor finalization,ALL,
,,Guarantee / warranty certificate,ALL,
,,Performance certificate from vendor,ALL,
,Vendor Approval from DISCOM / Utility,Request letter to DISCOM for vendor approval,ALL,DISCOM projects
,,Vendor approval received from DISCOM,ALL,
,,Factory approval for major equipment,ALL,
,,GTP / drawings / MQP submission with project block,ALL,
,,Request letter to DISCOM for GTP approval,ALL,
,,Manufacturing clearance & advance payment,ALL,
,Primary Plant,Power transformers (incl. FAT),ALL,
,,Circuit breakers,ALL,
,,Disconnectors / isolators,ALL,
,,Earth switches,ALL,
,,Current transformers (CT),ALL,
,,CVTs / VTs / PTs,ALL,
,,Surge arresters / lightning arresters,ALL,
,,Busbar materials & insulators,ALL,
,,GIS bays (factory-assembled),GIS/HYB,
,,Reactive compensation (reactors / capacitor banks / SVC),ALL (if applicable),
,,Wave traps & PLCC equipment,132kV and above,
,,kV VCB / RMU,33/11 kV,
,,kV indoor / outdoor VCB panels (incomer & outgoing),33/11 kV,
,Secondary / E&I Equipment,Protection relays / IEDs,ALL,
,,Control & relay panels,ALL,
,,Bus coupler panel (if applicable),ALL,
,,Metering (revenue / tariff),ALL,
,,Annunciation panels,ALL,
,,SCADA system,ALL,
,,RTU / gateway,ALL,
,,Telecom equipment,ALL,
,SAS Equipment (if applicable),IED procurement,ALL (if SAS),
,,Bay Control Unit (BCU),ALL (if SAS),
,,Station HMI & server,ALL (if SAS),
,,Ethernet switches,ALL (if SAS),
,,GPS time synchronization system,ALL (if SAS),
,,Fiber optic patch panel,ALL (if SAS),
,,FO cables & accessories,ALL (if SAS),
,,Factory inspection & FAT,ALL (if SAS),
,Auxiliary Supply,Station service transformer / substation DT,ALL,
,,AC distribution board,ALL,
,,DC distribution board,ALL,
,,Batteries & chargers (110V DC / 48V DC),ALL,
,,UPS system,ALL,
,Cables & Conductors,Control cables,ALL,
,,Power cables,ALL,
,,Optical fiber cables,ALL,
,,Cable trays / supports / termination accessories,ALL,
,,Lugs / glands / PG clamps & consumables,ALL,
,Structural & Earthing Materials,Structural steel (gantries / supports),AIS/HYB,
,,Earthing material (earth mat / electrode / riser),ALL,
,Ancillary / BoP Equipment,Fire protection & detection system,ALL,
,,HVAC & ventilation,ALL,
,,Lighting (yard & building),ALL,
,,Electronic security (CCTV / access / intrusion),ALL,
,Civil Materials,Cement,ALL,
,,Steel & iron,ALL,
,,Aggregates,ALL,
,,Bricks / blocks,ALL,
,Inspection & FAT at Vendor,Inspection date finalization (per PO supply schedule),ALL,
,,Inspection call by vendors to contractor,ALL,
,,Submission of inspection call to DISCOM / utility,ALL,
,,Nomination letter from DISCOM / utility,ALL,
,,Joint inspection at manufacturer's works,ALL,
,Dispatch & Logistics,Issuing dispatch instructions,ALL,
,,Transportation – standard materials,ALL,
,,Heavy transport & specialized logistics (transformers),ALL,
,,Balance payment submission with dispatch,ALL,
,Receipt & Storage at Site,Material receipt & entry into store / warehouse,ALL,
,,Storage & preservation at site store,ALL,
,,Material reconciliation reports,ALL,
,,Cartage from DISCOM store (if applicable),ALL,
,,Inspection & signing of indemnity bond (DISCOM),ALL,DISCOM projects
Site Development,,,ALL,
,Site Clearing,Vegetation & tree clearance,ALL,
,,Demolition / decommissioning of existing structures,ALL (if applicable),
,Earthwork,Earthwork excavation,ALL,
,,Filling & compaction,ALL,
,,Site grading & leveling,ALL,
,,Terrace formation (if sloped terrain),ALL (if applicable),
,Access,Approach road construction,ALL,
,,Temporary haul roads,ALL,
Civil Works,,,ALL,
,Perimeter & Access,Boundary wall,ALL,
,,Main gate,ALL,
,,Security fence,ALL,
,Buildings,Control room building (RCC works / brickwork / plaster / roofing / flooring / painting),ALL,
,,Relay room,132kV and above,
,,Telecom room,ALL,
,,Store building,ALL,
,,Security building,ALL,
,,GIS hall (structure / roofing / flooring / crane beam),GIS/HYB,
,,Anti-static / false flooring (control room),ALL (if required),
,,Doors / windows / rolling shutters,ALL,
,Equipment Foundations,Power transformer foundation,ALL,
,,Circuit breaker foundation,ALL,
,,CT foundation,ALL,
,,CVT / PT foundation,ALL,
,,Surge arrester foundation,ALL,
,,Isolator / disconnector foundation,ALL,
,,Gantry foundation,AIS/HYB,
,,Wave trap foundation,132kV and above,
,,kV equipment foundations (CB / LA / CT / PT),33/11 kV,
,,kV switchgear foundation,33/11 kV,
,,Control room foundation,ALL,
,Transformer Containment,Transformer oil soak pit,ALL,
,,Bund wall,ALL,
,,Fire wall,ALL,
,Cable Civil Works,Cable trench excavation & RCC casting,ALL,
,,Cable ducts,ALL,
,,Cable pits & manholes,ALL,
,,Trench cover placement,ALL,
,Drainage & Water,Storm water drainage system,ALL,
,,Sewer system,ALL,
,,Water supply,ALL,
,,Fire water tank,ALL,
,,Pump house,ALL,
,Yard & Roads,Yard gravelling / hard standing,ALL,
,,Internal roads & pavement,ALL,
Earthing System,,,ALL,
,Earth Mat Installation,Earth mat excavation & laying,ALL,
,,Earth mat connections & joints,ALL,
,Earth Electrodes,Earth pit installation (pipe / treated),ALL,
,,Earth electrode testing,ALL,
,Earth Risers,Riser connection to structures / equipment,ALL,
,Equipment Earthing,Equipment body earthing connections,ALL,
,,GI flat / pipe earthing,ALL,
,Building Earthing,Control room earthing,ALL,
,,Indoor earthing ring,ALL,
,Lightning Protection,Lightning mast / finial installation,ALL,
,,Down conductor installation,ALL,
,,Earthing resistance measurement & acceptance,ALL,
Structural Steel & Gantries,,,AIS/HYB,
,Gantry Erection,Gantry fabrication & trial assembly,AIS/HYB,
,,Gantry erection & alignment,AIS/HYB,
,Equipment Support Structures,LA / CT / PT / isolator structures,AIS/HYB,
,,kV VCB / RMU structure,33/11 kV,
,,Cable support structures,ALL,
,Bus Support Structures,Bus post insulator structures,AIS/HYB,
,,Tube bus support clamps & fittings,AIS/HYB,
,Steel Platforms,Service platforms & ladders,AIS/HYB,
Primary Equipment Installation,,,ALL,
,Power Transformer Installation,Transformer unloading & placement,ALL,
,,Oil filtration & filling,ALL,
,,Radiator & accessories mounting,ALL,
,,Buchholz relay piping,ALL,
,,PRD piping,ALL,
,,Marshalling box wiring,ALL,
,,Oil soak pit & oil drain connection,ALL,
,,Breather installation,ALL,
,,Transformer fencing & gravel spreading,ALL,
,,Fire fighting system integration,ALL,
,,Transformer oil treatment / OLTC installation,ALL,
,Bay Installation,kV bays,400kV,
,,kV bays,220kV,
,,kV bays,132kV,
,,kV bays / yard,33/11 kV,
,Switching & Measuring Equipment,Circuit breaker erection & alignment,AIS/HYB,
,,Disconnector / isolator installation,AIS/HYB,
,,Earth switch installation,ALL,
,,CT installation,AIS/HYB,
,,CVT / PT installation,AIS/HYB,
,,Surge arrester installation,ALL,
,,Wave trap installation,132kV and above,
,,PLCC equipment installation,132kV and above,
,GIS Installation,GIS bay erection (indoor),GIS/HYB,
,,SF6 filling & leak test,GIS/HYB,
,,GIS bus duct connections,GIS/HYB,
,,GIS CT / PT / LA integration,GIS/HYB,
,,GIS earth switch installation,GIS/HYB,
,,EOT crane commissioning (GIS hall),GIS/HYB,
,Busbar & Conductors,Busbar erection (tube / ACSR),AIS/HYB,
,,Busbar stringing,AIS/HYB,
,,Jumper fabrication & fixing,AIS/HYB,
,,Tightening & torque checking,ALL,
,,Inter-bay connections,ALL,
,11 kV Switchgear (Distribution),Panel unloading & placement,33/11 kV,
,,Bus coupler installation (if two incomers),33/11 kV,
,,Busbar installation,33/11 kV,
,,Inter-panel connections,33/11 kV,
Secondary System Installation,,,ALL,
,Control & Relay Panels,Panel unloading & shifting to control room,ALL,
,,Panel erection / alignment / grouting / fixing,ALL,
,,Inter-panel wiring,ALL,
,,Internal wiring checks,ALL,
,Protection Panels,Protection relay / IED installation,ALL,
,,Scheme wiring,ALL,
,Metering Panels,Revenue / tariff meter installation,ALL,
,,Metering wiring,ALL,
,Annunciation Panels,Annunciator installation & wiring,ALL,
,RTU / Gateway,RTU / gateway mounting & wiring,ALL,
,SCADA Server & HMI,Server mounting & software installation,ALL,
,,HMI configuration,ALL,
,Telecom Equipment,Telecom rack / panel installation,ALL,
,,SDH / MPLS / OFC equipment installation,ALL,
,SAS / IEC 61850 System,LAN setup & switch configuration,ALL (if SAS),
,,IED IP mapping & configuration upload,ALL (if SAS),
,,SAS server & HMI installation,ALL (if SAS),
Auxiliary System,,,ALL,
,Station Service Transformer,SST / substation DT installation,ALL,
,AC Distribution,AC distribution board installation,ALL,
,,Station AC supply wiring,ALL,
,DC Distribution,DC distribution board installation,ALL,
,,DC wiring & loop checks,ALL,
,Battery & Charger,Battery bank installation,ALL,
,,Battery charger installation,ALL,
,,Battery capacity test,ALL,
,UPS System,UPS installation & wiring,ALL,
,Lighting System,Yard lighting installation,ALL,
,,Control room / building lighting,ALL,
,,Emergency lighting,ALL,
,Fire Protection & Detection,Fire detection system installation,ALL,
,,Fire fighting (FM200 / CO2 / water mist / sprinkler),ALL,
,,Fire alarm panel installation,ALL,
,HVAC & Ventilation,HVAC unit installation (control room),ALL,
,,Ventilation fans & ductwork,ALL,
,Electronic Security,CCTV installation,ALL,
,,Access control system,ALL,
,,Intrusion alarm system,ALL,
Cable Works,,,ALL,
,Control Cable Laying,Cable route marking & tray installation,ALL,
,,Control cable pulling & laying,ALL,
,Power Cable Laying,Power cable pulling & laying,ALL,
,Fiber Cable Laying,Optical fiber cable laying & splicing,ALL,
,Cable Dressing & Tagging,Cable dressing,ALL,
,,Ferruling & tagging,ALL,
,Cable Termination,Cable glanding,ALL,
,,Cable termination at panels & equipment,ALL,
,Panel & Kiosk Wiring,Marshalling kiosk wiring,ALL,
,,Panel wiring & loopback,ALL,
Protection Control & SCADA,,,ALL,
,Relay Configuration,Relay setting upload & verification,ALL,
,,Protection logic configuration,ALL,
,Interlocking,Interlocking scheme checks,ALL,
,,Scheme logic testing,ALL,
,RTU / SCADA Configuration,RTU configuration & point mapping,ALL,
,,SCADA database build,ALL,
,,Point-to-point signal testing,ALL,
,IEC 61850 Configuration,IED configuration & GOOSE binding,ALL (if SAS),
,,SAS FAT (factory) / SAT (site),ALL (if SAS),
,,Time synchronization testing (GPS / PTP),ALL (if SAS),
,Telecom Integration,Telecom system integration,ALL,
,,Teleprotection testing,132kV and above,
,Cybersecurity / OT Hardening,OT network segmentation & firewall configuration,ALL,
,,Cybersecurity audit & hardening,ALL,
Testing & Commissioning,,,ALL,
,Equipment Pre-Commissioning Tests,Transformer testing (ratio / IR / oil & DGA / tan-δ),ALL,
,,Circuit breaker testing (timing / contact resistance / IR),ALL,
,,CT testing (ratio / polarity / magnetization),ALL,
,,CVT / PT testing,ALL,
,,Isolator / disconnector testing,ALL,
,,SF6 quality & leak test,GIS/HYB,
,,Cable testing (IR / hi-pot / VLF),ALL,
,,Earthing resistance measurement,ALL,
,,Breaker tests (33 kV / 11 kV VCB),33/11 kV,
,Secondary / Functional Testing,Protection testing (secondary injection),ALL,
,,Interlock testing,ALL,
,,Metering verification,ALL,
,,Battery & charger functional test,ALL,
,,AC / DC auxiliary supply verification,ALL,
,,Continuity checks,ALL,
,,Insulation resistance tests (panels / cables),ALL,
,,Functional & interlock tests,ALL,
,System / Integration Testing,SCADA testing (point-to-point & end-to-end),ALL,
,,Telecom / teleprotection testing,ALL,
,,Ancillary systems commissioning (HVAC / Fire / CCTV),ALL,
,,SAS site acceptance test (SAT),ALL (if SAS),
,,Remote SCADA integration test,ALL,
,Pre-Commissioning Checks,Protection coordination check,ALL,
,,Trial run,ALL,
,,Client / utility inspection,ALL,
,,Bay commissioning,ALL,
,,Transformer commissioning,ALL,
,,Network / utility acceptance (SAT),ALL,
Energization & Handover,,,ALL,
,Outage Coordination,Outage request & SLDC / DISCOM coordination,ALL,
,,PTW (Permit to Work) clearance,ALL,
,,Safety clearance before energization,ALL,
,Energization,kV line / bus charging,33/11 kV,
,,kV bus charging,33/11 kV,
,,/ 220 / 400 kV line charging,132kV and above,
,,Transformer energization (no-load),ALL,
,,Load trials,ALL,
,Load Transfer & Integration,Load transfer & synchronization,ALL,
,,Reliability run (72-hour / 30-day),ALL,
,Punch Point Clearance,Punch list preparation & distribution,ALL,
,,Punch point closure & sign-off,ALL,
,Final Inspection & Documentation,Final inspection,ALL,
,,As-built drawings handover,ALL,
,,O&M manuals & spares handover,ALL,
,,Test reports compilation,ALL,
,,Warranty documents,ALL,
,Training,Operations & maintenance training,ALL,
,,Emergency procedure training,ALL,
,Acceptance,PAC (Provisional Acceptance Certificate),ALL,
,,Site reinstatement / rehabilitation,ALL,
,,Defects liability / warranty period monitoring,ALL,
,,FAC (Final Acceptance Certificate),ALL,
HSE & Quality,,,ALL,
,Health & Safety Management,Safety plan preparation & approval,ALL,
,,Toolbox talks (daily),ALL,
,,PPE compliance monitoring,ALL,
,,Permit to work (PTW) system,ALL,
,,Safety audits & inspections,ALL,
,,Incident reporting & investigation,ALL,
,Quality Management,ITP (Inspection & Test Plan) preparation & approval,ALL,
,,Stage-wise quality checks & sign-off,ALL,
,,NCR (Non-Conformance Report) issuance & closure,ALL,
,,Calibration records,ALL,
,Environmental Controls,Waste management,ALL,
,,Oil spill prevention & containment,ALL,
,,Noise & dust control,ALL,
,,Environmental monitoring,ALL,
