Level1_Name,Level1_Desc,Level2_Name,Level2_Desc,Level3_Name,Level3_Desc,Level4_Name,Level4_Desc,Level5_Name,Level5_Desc,Assign_To,Timeline,Weight,Tower_Tagging,Leaf_Node_Progress_Type
Project Initiation & Mobilization,,,,,,,,,,,,,No,
,,Finalization of Sub-Contractor,,,,,,,,,,,No,Binary
,,Site Office & Store Setup,,,,,,,,,,,No,
,,,,Site office construction / temporary shed,,,,,,,,,No,Binary
,,,,Store / godown setup,,,,,,,,,No,Binary
,,,,Material unloading platform / hard standing,,,,,,,,,No,Binary
,,,,Compound wall / temporary fencing for site,,,,,,,,,No,Binary
,,Mobilization of Site Team,,,,,,,,,,,No,
,,,,Engineers & supervisors deployment,,,,,,,,,No,Binary
,,,,Skilled & unskilled workforce mobilization,,,,,,,,,No,Binary
,,,,Safety officer & quality engineer deployment,,,,,,,,,No,Binary
,,Construction Equipment & T&P Mobilization,,,,,,,,,,,No,
,,,,Crane / hydra mobilization,,,,,,,,,No,Binary
,,,,Excavator & tipper mobilization,,,,,,,,,No,Binary
,,,,Welding sets / cutting tools,,,,,,,,,No,Binary
,,,,Survey instruments (total station / level),,,,,,,,,No,Binary
,,,,Cable pulling equipment,,,,,,,,,No,Binary
,,Project Controls Setup,,,,,,,,,,,No,
,,,,Baseline programme (L1/L2/L3 schedule),,,,,,,,,No,Binary
,,,,Document control & filing system,,,,,,,,,No,Binary
,,,,Drawing submission & approval register,,,,,,,,,No,Binary
,,,,Material reconciliation register,,,,,,,,,No,Binary
Statutory Clearances & Approvals,,,,,,,,,,,,,No,
,,Land & Site Clearances,,,,,,,,,,,No,
,,,,Site Possession Certificate,,,,,,,,,No,Binary
,,,,Land NOC / Lease agreement,,,,,,,,,No,Binary
,,,,ROW / Easement documentation,,,,,,,,,No,Binary
,,,,Indemnity bond signing,,,,,,,,,No,Binary
,,Environmental Clearances,,,,,,,,,,,No,
,,,,Proposal Making,,,,,,,,,No,
,,,,,,Environment / Pollution NOC,,,,,,,No,Binary
,,,,,,Tree cutting permission,,,,,,,No,Binary
,,,,,,EIA report (if applicable),,,,,,,No,Binary
,,,,Proposal Submission,,,,,,,,,No,
,,,,,,Environment / Pollution NOC,,,,,,,No,Binary
,,,,,,Tree cutting permission,,,,,,,No,Binary
,,,,,,EIA report (if applicable),,,,,,,No,Binary
,,,,Approval,,,,,,,,,No,
,,,,,,Environment / Pollution NOC,,,,,,,No,Binary
,,,,,,Tree cutting permission,,,,,,,No,Binary
,,,,,,EIA report (if applicable),,,,,,,No,Binary
,,Electrical Statutory Approvals,,,,,,,,,,,No,
,,,,Proposal Making,,,,,,,,,No,
,,,,,,CEIG approval application,,,,,,,No,Binary
,,,,,,CEA / SERC compliance submission,,,,,,,No,Binary
,,,,,,Work authorization from utility / DISCOM,,,,,,,No,Binary
,,,,,,Fire safety approval,,,,,,,No,Binary
,,,,,,Building plan / local authority approval,,,,,,,No,Binary
,,,,Proposal Submission,,,,,,,,,No,
,,,,,,CEIG approval application,,,,,,,No,Binary
,,,,,,CEA / SERC compliance submission,,,,,,,No,Binary
,,,,,,Work authorization from utility / DISCOM,,,,,,,No,Binary
,,,,,,Fire safety approval,,,,,,,No,Binary
,,,,,,Building plan / local authority approval,,,,,,,No,Binary
,,,,Approval,,,,,,,,,No,
,,,,,,CEIG approval application,,,,,,,No,Binary
,,,,,,CEA / SERC compliance submission,,,,,,,No,Binary
,,,,,,Work authorization from utility / DISCOM,,,,,,,No,Binary
,,,,,,Fire safety approval,,,,,,,No,Binary
,,,,,,Building plan / local authority approval,,,,,,,No,Binary
,,DISCOM / Utility Interface,,,,,,,,,,,No,
,,,,Vendor approval list from DISCOM / Utility,,,,,,,,,No,Binary
,,,,GTP / drawing / MQP submission & approval,,,,,,,,,No,Binary
,,,,Manufacturing clearance from DISCOM,,,,,,,,,No,Binary
Survey,,,,,,,,,,,,,No,
,,Topographical Survey,,,,,,,,,,,No,
,,,,Data collection / field survey,,,,,,,,,No,Binary
,,,,Proposal submission to client,,,,,,,,,No,Binary
,,,,Approval,,,,,,,,,No,Binary
,,Geotechnical / Soil Investigation,,,,,,,,,,,No,
,,,,Borehole / trial pit execution,,,,,,,,,No,Binary
,,,,Laboratory testing,,,,,,,,,No,Binary
,,,,Report submission to client,,,,,,,,,No,Binary
,,,,Approval,,,,,,,,,No,Binary
,,Bay / Layout Survey,,,,,,,,,,,No,
,,,,Equipment foundation marking survey,,,,,,,,,No,Binary
,,,,Gantry / structure alignment survey,,,,,,,,,No,Binary
,,,,Control room location marking,,,,,,,,,No,Binary
,,,,Submission to client,,,,,,,,,No,Binary
,,,,Approval,,,,,,,,,No,Binary
,,Cable Corridor & Trench Survey,,,,,,,,,,,No,
,,,,Cable route marking,,,,,,,,,No,Binary
,,,,Trench alignment survey,,,,,,,,,No,Binary
,,,,Submission to client,,,,,,,,,No,Binary
,,,,Approval,,,,,,,,,No,Binary
Engineering & Design,,,,,,,,,,,,,No,
,,System Studies,,,,,,,,,,,No,
,,,,Load flow study,,,,,,,,,No,Binary
,,,,Short circuit study,,,,,,,,,No,Binary
,,,,Protection coordination study,,,,,,,,,No,Binary
,,,,Insulation coordination study,,,,,,,,,No,Binary
,,,,Earthing grid calculation,,,,,,,,,No,Binary
,,,,Lightning protection design (DSLP),,,,,,,,,No,Binary
,,Primary Design,,,,,,,,,,,No,
,,,,Single Line Diagram (SLD) – client approval,,,,,,,,,No,Binary
,,,,Switchyard GA & protection scheme approval,,,,,,,,,No,Binary
,,,,Layout / plan drawing,,,,,,,,,No,Binary
,,,,Busbar & bay design,,,,,,,,,No,Binary
,,,,Gantry & equipment support structure design,,,,,,,,,No,Binary
,,,,GIS hall architectural & layout design,,,,,,,,,No,Binary
,,Civil Design,,,,,,,,,,,No,
,,,,Foundation design – Power Transformer,,,,,,,,,No,Binary
,,,,Foundation design – Circuit Breaker,,,,,,,,,No,Binary
,,,,Foundation design – CT / PT / CVT / LA / Isolator,,,,,,,,,No,Binary
,,,,Foundation design – Gantry & structures,,,,,,,,,No,Binary
,,,,Foundation design – Control room,,,,,,,,,No,Binary
,,,,Control room building architectural drawings,,,,,,,,,No,Binary
,,,,Boundary wall / gate / fencing drawings,,,,,,,,,No,Binary
,,,,Transformer oil soak pit & bund wall design,,,,,,,,,No,Binary
,,,,Cable trench layout & section drawings,,,,,,,,,No,Binary
,,,,Drainage & road design,,,,,,,,,No,Binary
,,Secondary & Protection Design,,,,,,,,,,,No,
,,,,Protection design & relay setting calculations,,,,,,,,,No,Binary
,,,,Control & metering design,,,,,,,,,No,Binary
,,,,DC system design (battery / charger sizing),,,,,,,,,No,Binary
,,,,Busbar protection scheme design,,,,,,,,,No,Binary
,,,,SCADA / SAS design (IEC 61850 / conventional),,,,,,,,,No,Binary
,,,,Telecom design,,,,,,,,,No,Binary
,,,,Cybersecurity / OT security design,,,,,,,,,No,Binary
,,Ancillary Systems Design,,,,,,,,,,,No,
,,,,Firefighting system design,,,,,,,,,No,Binary
,,,,HVAC design for control room,,,,,,,,,No,Binary
,,,,Yard & building lighting design,,,,,,,,,No,Binary
,,,,Electronic security (CCTV / access / intrusion) design,,,,,,,,,No,Binary
,,Drawing Approvals & Issue,,,,,,,,,,,No,
,,,,Client / utility submission,,,,,,,,,No,Binary
,,,,Comment incorporation & re-submission,,,,,,,,,No,Binary
