Level1_Name,Level1_Description,Level2_Name,Level2_Description,Level3_Name,Level3_Description,Level4_Name,Level4_Description,Level5_Name,Level5_Description,Assign_To,Timeline,Weight,Tower_Tag,Leaf_Node,Progress_Type
Bid & Tender,,,,,,,,,,,,,No,,
,,RFP/Tender Document Study,,,,,,,,,,,No,Binary,
,,Technical Bid Preparation,,,,,,,,,,,No,Binary,
,,Commercial Bid Preparation,,,,,,,,,,,No,Binary,
,,Bid Bond / EMD Submission,,,,,,,,,,,No,Binary,
,,Pre-bid Meeting & Clarifications,,,,,,,,,,,No,Binary,
,,Bid Submission & Negotiation,,,,,,,,,,,No,Binary,
,,LOA / Contract Signing,,,,,,,,,,,No,Binary,
Project Initiation,,,,,,,,,,,,,No,,
,,Feasibility,,,,,,,,,,,No,,
,,,,Site Selection & Comparison,,,,,,,,,No,Binary,
,,,,Solar Resource Assessment,,,,,,,,,No,Binary,
,,,,Preliminary Shading & Topography Survey,,,,,,,,,No,Binary,
,,,,Preliminary Soil Investigation,,,,,,,,,No,Binary,
,,,,Water Availability Study,,,,,,,,,No,Binary,
,,Land Acquisition,,,,,,,,,,,No,,
,,,,Title Due Diligence,,,,,,,,,No,Binary,
,,,,Lease/Purchase Agreement,,,,,,,,,No,Binary,
,,,,Land Use Conversion,,,,,,,,,No,Binary,
,,,,Right-of-Way (Transmission Corridor),,,,,,,,,No,Binary,
,,Permits,,,,,,,,,,,No,,
,,,,Environmental Clearance,,,,,,,,,No,Binary,
,,,,Forest/Wildlife Clearance,,,,,,,,,No,Binary,
,,,,PPA Negotiation,,,,,,,,,No,Binary,
,,,,Grid Connectivity Approval,,,,,,,,,No,Binary,
,,,,Fire/Pollution/Civil Aviation NOCs,,,,,,,,,No,Binary,
,,,,Building/Structural Approval,,,,,,,,,No,Binary,
,,Financing,,,,,,,,,,,No,,
,,,,CAPEX/OPEX Estimation,,,,,,,,,No,Binary,
,,,,Debt/Equity Structuring,,,,,,,,,No,Binary,
,,,,Insurance Planning,,,,,,,,,No,Binary,
,,,,Contingency Planning,,,,,,,,,No,Binary,
,,Project Management,,,,,,,,,,,No,,
,,,,Project Charter & WBS Baseline,,,,,,,,,No,Binary,
,,,,Schedule Development,,,,,,,,,No,Binary,
,,,,Cost Control & Budgeting,,,,,,,,,No,Binary,
,,,,Stakeholder Management,,,,,,,,,No,Binary,
,,,,Progress Reporting/MIS,,,,,,,,,No,Binary,
,,Risk Management,,,,,,,,,,,No,,
,,,,Risk Identification & Register,,,,,,,,,No,Binary,
,,,,Risk Assessment,,,,,,,,,No,Binary,
,,,,Mitigation Planning,,,,,,,,,No,Binary,
,,,,Contingency Reserve Allocation,,,,,,,,,No,Binary,
,,,,Periodic Risk Review,,,,,,,,,No,Binary,
Engineering,,,,,,,,,,,,,No,,
,,Detailed Engineering Survey,,,,,,,,,,,No,,
,,,,Detailed Topographical Survey,,,,,,,,,No,Binary,
,,,,Drone Survey,,,,,,,,,No,Binary,
,,,,Soil Retesting & Validation,,,,,,,,,No,Binary,
,,,,Detailed Shading Analysis,,,,,,,,,No,Binary,
,,Electrical Design,,,,,,,,,,,No,,
,,,,SLD & Layout Design,,,,,,,,,No,Binary,
