Level1_Name,Level1_Desc,Level2_Name,Level2_Desc,Level3_Name,Level3_Desc,Level4_Name,Level4_Desc,Level5_Name,Level5_Desc,Assign_To,Timeline,Weight,Substation_Type,Leaf_Node_Progress_Type
Project Initial Activity,,,,,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,AIS,
,,Contractor Mobilization,,,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,AIS,
,,,,Tender Evaluation,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,AIS,Binary
,,,,Sub-Contract Agreement Signing,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,AIS,Binary
,,,,Key Personnel Deployment,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,AIS,Binary
,,,,Site Joining Formalities,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,AIS,Binary
,,Site Infrastructure Setup,,,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,AIS,
,,,,Office Cabin Installation,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,AIS,Binary
,,,,Furniture & IT Setup,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,AIS,Binary
,,,,Warehouse/Shed Erection,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,AIS,Binary
,,,,Material Rack & Bin Arrangement,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,AIS,Binary
,,,,Camp Construction/Hiring,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,AIS,Binary
,,,,Sanitation & Mess Facility,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,AIS,Binary
,,Utility & Communication Setup,,,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,AIS,
,,,,DG Set Installation,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,AIS,Binary
,,,,Bore Well / Water Tanker Arrangement,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,AIS,Binary
,,,,Internet Connectivity,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,AIS,Binary
,,,,Walkie-Talkie/Phone Network,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,AIS,Binary
,,Compliance & Resource Mobilization,,,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,AIS,
,,,,Crane/EOT Mobilization,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,AIS,Binary
,,,,Earthmoving Equipment Mobilization,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,AIS,Binary
,,,,Labor License Application,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,AIS,Binary
,,,,ESI/PF Code Registration,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,AIS,Binary
,,,,Security Agency Deployment,,,,,,"Harsh,Shruti",25-Dec-2025|07-Jun-2026,,AIS,Binary
