Level1,Level2,Level3,Level4
Bid & Tender,,,
,RFP/Tender Document Study,,
,Technical Bid Preparation,,
,Commercial Bid Preparation,,
,Bid Bond / EMD Submission,,
,Pre-bid Meeting & Clarifications,,
,Bid Submission & Negotiation,,
,LOA / Contract Signing,,
,,Review and Negotiate LOA/EPC Contract Terms,
,,Submit Performance Bank Guarantee,
Project Initiation,,,
,Internal Kick-off,,
,,Conduct Internal Project Kick-off Meeting,
,,Prepare Team Mobilization Plan,
,,Define Project Organization Chart & Roles,
,Project Charter & Baseline Setup,,
,,Prepare Project Charter & Scope Baseline,
,,Set Up Project Numbering & Filing Protocol,
,Insurance & Risk Transfer Setup,,
,,Issue CAR/EAR Insurance Policy,
,,Issue Third-Party Liability Insurance Policy,
,Feasibility,,
,,Site Selection & Comparison,
,,Solar Resource Assessment,
,,,Install/Verify Solar Irradiance Monitoring Station
,,,Validate Satellite Irradiance Data vs Ground Measurement
,,Preliminary Shading & Topography Survey,
,,Preliminary Soil Investigation,
,,Water Availability Study,
,Land Acquisition,,
,,Title Due Diligence,
,,,Verify Land Title/Encumbrance/Mutation Records
,,,Conduct Revenue Record & Litigation Search
,,,Obtain Legal Opinion on Title Clearance
,,Lease/Purchase Agreement,
,,,Negotiate & Execute Sale/Lease Deed
,,,Register Land Documents with Revenue Authority
,,Land Use Conversion,
,,Right-of-Way (Transmission Corridor),
,,Boundary Survey & Demarcation,
,,,Conduct Topographic Boundary Survey
,,,Install Boundary Marker Pillars
,,,Resolve Encroachment/Right-of-Way Disputes
,Permits,,
,,Environmental Clearance,
,,,Obtain Consent to Establish (CTE)
,,,Obtain Factory/Electrical Inspectorate Registration
,,,Obtain Fire NOC for Control Room/BESS Building
,,Forest/Wildlife Clearance,
,,PPA Negotiation,
,,,Sign Power Purchase Agreement / Power Sale Agreement
,,Grid Connectivity Approval,
,,,Obtain Connectivity/Feasibility Approval from STU/CTU
,,,Obtain Long Term Open Access (LTOA)/Transmission Approval
,,Fire/Pollution/Civil Aviation NOCs,
,,,Obtain Height Clearance (AAI/Defence)
,,Building/Structural Approval,
,,,Obtain Change of Land Use (CLU) Certificate
,Financing,,
,,CAPEX/OPEX Estimation,
,,Debt/Equity Structuring,
,,Insurance Planning,
,,Contingency Planning,
,Project Management,,
,,Project Charter & WBS Baseline,
,,Schedule Development,
,,Cost Control & Budgeting,
,,Stakeholder Management,
,,Progress Reporting/MIS,
"Survey, Geotechnical & Environmental Studies",,,
,Topographic & Resource Survey,,
,,Topographic Survey,
,,,Conduct Drone/Total-Station Topographic Survey
,,,Prepare Contour Map & Site Grading Plan
,Geotechnical Investigation,,
,,Geotechnical Testing,
,,,Conduct Soil Boring & SPT Tests at Grid Locations
,,,Conduct Soil Resistivity Test for Earthing Design
,,,Issue Geotechnical Report with Foundation Recommendations
,Environmental & Social Studies,,
,,Environmental Impact Assessment,
,,,Conduct Flora/Fauna & Ecological Baseline Study
,,,Conduct ESIA (if required)
,,,Prepare Environmental Management Plan (EMP)
Engineering,,,
,Detailed Engineering Survey,,
,,Detailed Topographical Survey,
,,Drone Survey,
,,Soil Retesting & Validation,
,,Detailed Shading Analysis,
,Preliminary Engineering,,
,,Layout Optimization,
,,,Prepare Optimized Plant Layout (PVsyst/Helioscope)
,,,Finalize Row Spacing and  GCR & Shading Analysis
,,,Prepare Internal Road & Drainage Layout
,Electrical Design,,
,,SLD & Layout Design,
,,,Prepare SLD for DC/AC/SCADA Systems
,,DC/AC Sizing & Inverter Loading Ratio,
,,Cable Sizing & Voltage Drop Calculation,
,,Protection Coordination Study,
,,,Prepare Relay Setting & Coordination Study
,,Earthing/Lightning Protection Design,
,,,Prepare Lightning & Earthing Design (IEEE 80 Grid)
,,,Conduct Lightning Risk Assessment (IEC 62305)
,Civil Design,,
,,Site Grading & Drainage Design,
,,Foundation/Pile Design,
,,,Design Module Mounting Structure Foundation
,,,Conduct Wind Load Analysis (IS 875/ASCE 7)
,,Road & Culvert Design,
,,Control Room/Substation Civil Drawings,
,,,Design Inverter/Transformer Plinths
,Mechanical Design,,
,,Structural Design (Wind/Snow Load),
,,Tracker/Fixed-Tilt Mounting Design,
